x,%c
0.00515,2683.23
0.05337,2660.76
0.12143,2655.47
0.1895,2648.86
0.25756,2640.93
0.32279,2631.68
0.39086,2621.1
0.45609,2610.53
0.52416,2599.95
0.59222,2589.38
0.65745,2578.8
0.72552,2569.55
0.79358,2558.98
0.85881,2549.72
0.92688,2541.79
0.99494,2533.86
1.06301,2525.93
1.12824,2519.32
1.1963,2512.71
1.26437,2507.42
1.33526,2503.46
1.40333,2498.17
1.47139,2494.21
1.53945,2490.24
1.61035,2486.27
1.67842,2482.31
1.74648,2478.34
1.81454,2475.7
1.8826,2473.06
1.9535,2470.41
2.02156,2467.77
2.09388,2465.12
2.17754,2459.84
2.28176,2453.23
2.36826,2442.65
2.43846,2430.76
2.50085,2414.89
2.55758,2395.07
2.6058,2371.27
2.64552,2344.84
2.67956,2315.76
2.70794,2285.35
2.73348,2254.95
2.75334,2223.23
2.77321,2191.5
2.79024,2159.78
2.80727,2126.73
2.82289,2095.01
