x,cell
22.5,23.4772
99.3,23.5373
155.1,23.7661
221.4,24.4529
322.6,25.453
453.5,26.2964
610.6,27.441
753.6,28.1999
896.7,28.8986
1074.7,29.4284
1341.7,30.1991
1584.3,30.7287
1795.4,31.0415
1983.9,31.1856
2128.7,31.3419
2325.9,31.5824
2592.9,31.5697
2858.2,31.7256
3201.9,31.8211
3446.2,31.8687
3578.9,31.8803
3688.8,31.88
3788.3,31.2651
3889.5,30.4934
3989,29.8905
4090.2,29.1912
4189.6,28.7329
4276.9,28.2746
4386.8,27.5873
4510.7,27.129
4620.7,26.6707
4720.1,26.5137
4854.5,25.983
5008.1,25.7536
5163.4,25.3675
5318.7,24.9814
5474,24.7519
5618.8,24.5225
5782.9,24.2931
5905,24.2204
6060.3,24.1357
6261,23.9784
6426.8,23.8333
6636.2,23.7484
6791.5,23.6756
6957.3,23.6029
