x,cell
22.5,23.9352
99.3,24.0073
155.1,24.4652
221.4,25.3087
322.6,26.5378
453.5,27.9115
598.3,29.1284
731,30.1284
874.1,31.044
1053.8,31.8872
1319,32.8748
1563.3,33.4889
1785,33.9583
1983.9,34.3314
2116.5,34.5601
2305,34.7162
2582.4,34.9445
2847.7,35.1004
3203.7,35.1718
3434,35.2435
3566.7,35.2431
3701,35.3271
3788.3,34.5555
3889.5,33.4825
3989,32.5662
4090.2,31.6499
4189.6,30.9506
4276.9,30.2754
4388.6,29.6484
4510.7,28.9731
4622.4,28.2737
4720.1,27.8275
4854.5,27.2847
5009.8,26.8263
5163.4,26.3679
5318.7,25.9094
5474,25.5233
5617.1,25.2216
5784.6,24.9922
5906.8,24.7628
6062.1,24.5334
6259.3,24.4485
6426.8,24.219
6636.2,24.0618
6793.2,23.989
6959,23.9042
